federation_level,x,y,fed_y
Germany,"Не уверена в таком...мы были в Кракове на вокзале,зашли в КК,нам даже давление не померяли,стакана воды не дали,хотя упаковки с водой были,а чтобы купить !!!таблетки от давления отправили к врачу,хорошо хоть недалеко,мы пришли в 11.30,ни одного человека не было и принимать они нас не хотели,начали упрашивать,с трудом приняли,чтобы выписать рецепт один на двоих-купить таблетки от давления в аптеке..вот такой высший уровень...",0,Germany_0
Germany,Для пересечения границ из Украины в Германии никто не спрашивал о вакцинах...на животных никто не обращает внимание....с украинским внутренним паспортом пускают и в Польшу и в Германии без проблем,0,Germany_0
Germany,"Мені можуть відмовити в допомозі, так як тут чоловік працює і ми проживаємо разом. Лист про приписку нам дали один на двох. Мене цікавить тільки мед.страховка як її тут отримати?",0,Germany_0
Germany,"Не подскажете, есть ли русскоговорящие врачи в Германии, кто может выписать рецепт и проконсультировать онлайн?",0,Germany_0
Germany,"не подскажите , возможно ли в Германии вообще попасть к дежурному врачу ? и как это сделать? у моего парня 8-й день не проходит гнойная ангина с антибиотиком и мы никак не можем попасть к врачу((",0,Germany_0
Germany,"Підкажіть будь ласка ,закінчується страховка на машину ту що давали в Польщі на кордоні на місяць,тепер ми в Дрездоні, де можна переоформити,чи може наша буде дійсна Українська підкажіть будь ласка як краще може хтось цим займався?дякую.",0,Germany_0
Germany,"Да, конечно. От аллергии стандартный Cetirizin, от головной боли Thomapyrin, ибупрофен, dolormin Migräne, Dolortriptan (подороже, но от мигрени неплохо помогает)",0,Germany_0
Germany,"⭕️Порекомендуйте русскоговорящего невропатолога для подростка🙏 Район Бонна, Кёльна или из любого города, если можно консультироваться онлайн",0,Germany_0
Germany,"Ребят, кто подскажет вопрос деликатный. Детей какого возраста принудительно вакцинируют в Германии? С какого возраста заставляют делать вакцину? В Украине только с 12 лет",0,Germany_0
Germany,Українські страхові почали продавати онлайн. Якщо не знайдете в гугл можу дати менеджера який мені зробив. пишіть в лічку,0,Germany_0
Germany,Добрый вечер. Подскажите пожалуйста может кто-то сталкивался с этим. Читала что Германия принимает раненых украинских военных на бесплатное лечение. Возможно знаете какие больницы помогают лечить бесплатно и возможно кто-то обращался.,0,Germany_0
Germany,"Что по сертификатам вакцины? Проверяют ли на входе в любое место или нет? Если дия не работает в Германии, а сертификат только там…",0,Germany_0
Germany,"Замовляла окуляри у Fielmann. Спиталася чи маю щось заплатити. Нічого не треба. Єдине, що оправа має бути не дорожче 20 євро. Вибір у цій ціновій категорії був не такий вже й маленький. Шукала не ""дорого багато"", тож задоволена.",0,Germany_0
Germany,"Добрый день, интересует вопрос, пенсионеры остаються на социале? Их обслуживает landerzam?И как происходит медицинское страхование ? Нужно делать страховку в страховой компании или их будет обслуживать социал?",0,Germany_0
Germany,"добрый день, подскажите, пожалуйста, статус временной защиты еще не оформлен, но срочно нужны услуги стоматолога. г. Кельн, Дормунд или Дюсельдорф.",0,Germany_0
Germany,"Немецкая компания оптики Zeiss помогает беженцам из Украины. Здесь вы можете бесплатно проверить свои глаза и получить экстренную помощь по уходу за очками или заказать новые один раз в два года. в группе ""украинцы в Ландсхуте"" в самом начале, есть ссылка на сайт с адресами по Германии, Здесь нельзя отправлять ссылки",0,Germany_0
Germany,Добрый день.Может кто знает Лимбург-Вайльбург.Земля Гессен.Может там есть хороший Русскоговорящий стоматолог.Спасибо,0,Germany_0
Germany,"Идете в офис, в любую страховую и говорите что хотите страховку оформить. Если вы на джобцентре, то просите их дать вам бумагу для джобцентра (они в курсе). Эту бумагу относите в джобцентр и ждете письма от страховой.",0,Germany_0
Germany,Добрый вечер. Другу срочно нужна операция на почку. В Украине её сделать не могут. Уже собрали документы в военкомате и перевели их на английский Насколько реально получить эту операцию в Германии?,0,Germany_0
Germany,"SOS! В нашем лагере всем делают рентген. Мне тоже сделали и что -то обнаружили. Во всех программах теперь пишут, что у меня туберкулёз. Симптомов у меня нет. Я не кашляю. В семье все здоровы. Я пошла к медпункт. Они говорят, что скорее всего это остаток болезни. Я не заразна. Что нужен повторный снимок и все. Но от меня шарахается персонал. Может быть такое, что они ждут понедельника, а потом посадят в изолятор до выяснения результатов? Или если было бы опасно, то сразу бы увезли?",0,Germany_0
Germany,"Подскажите, пожалуйста, если после курсов немецкого языка пойти на учебу Аусбильдунг на ассистента стоматолога, будет ли джобцентр хоть частично возмещать квартиру? Так как у меня украинский диплом медсестры и опыт работы ассистентом более 10 лет, мне нужно здесь переучиваться.",0,Germany_0
Germany,"Мы поняли, что обязательна. По идее, если вы не вакцинированы, то надо сдать экспресс-тест, прежде чем куда-то идти. Даже для общественного транспорта",0,Germany_0
Germany,"В среднем страховка- 200 евро( 15.5%зарплаты), студенты - около 100 евро... и доходит до 1000 евро в месяц иибоььше.",0,Germany_0
Germany,То есть после того как по будешь в джобцентре опять нужно идти в страховую? Или просто ждать пока карточку пришлют?,0,Germany_0
France,"Добрый вечер. Подскажите пожалуйста, оформляла медицинскую страховку 16 апреля, до сих пор ничего не пришло на почту. Это нормально?",0,France_0
France,"Ну если отит безсимптомный, то не факт, что это вообще отит. А антибиотики во Франции и в Италии просто очень любят принимать по поводу и без повода. В той же Швеции или Дании, наоборот вам бы назначили только отипакс или вообще сказали бы, что само пройдёт.",0,France_0
France,"Подскажите кто может покупал уже капли сосудосуживающие для детей,?какие тут можно купить аналог типо нашего Риномистина или ренозалина?",0,France_0
France,Здравствуйте . подскажите пожалуйста кто-то смог найти ортодонта для коррекции и брекетов и продолжения лечения в Париже??,0,France_0
France,"Не дело случая, а есть база МТСБУ. Это настоящее подтверждение подлинности вашей страховки, а не бумажка. Если у вас есть такая ""распечатанная"" бумажка, вы не докажете что вы застрахованы, а если вы есть в базе, это железно",0,France_0
France,"Ну как вам сказать. Я в прошлом месяце заплатила 40-45 евро за лекарства на 2 ( я и 4 лет девочка). И это с рецептами. И это я относительно молода, и мы просто простудились. С учётом сниженного пособия - это весомая трата(",0,France_0
France,Чи може інша людина користуватись особистим навіго? Або чи можна свою страховку оформити на інше навіго?,0,France_0
France,"Да на утро. Что я там были. Но потом остаток дня и следующие пару дней чего делать? И если так ребенк болеет каждый месяц (я не преувеличиваю). Любая инфекция даёт температуру выше 39С- 39,5С. Что делать: давать парацетамол и в школу?",0,France_0
France,"Скажите в какой оптике) пойдем тоже туда. Мы за 145 покупали, ходили по совету вместе с волонтером от красного креста. Но сказали что за бесплатно- есть граничная цена. Это в оптике Krys.",0,France_0
France,"Я без страховки в скорую обратилась. Приняли, не платила ничего..попробуйте..только возьмите с собой розовую бумагу с префектуры",0,France_0
France,"Мы сделали тесты(я и ребёнок 12 лет), ни тесты ни сертификат о вакцинации никто не спрашивал, хотя на официальных сайтах было написано, что нужно). Р. S прилетели 15.03",0,France_0
France,"Добрый вечер я повелась на ето Смс и заполонила все! Потом доктор что ето мошенники , Чем ето грозит?",0,France_0
France,"У нас в префектуре спрашивали сертификат вакцинации. Я вакцинирована, а дочь 16 лет - нет. Сказали срочно сделать вакцинацию!",0,France_0
France,"Если таблетки не по рецепту и срочно, попросите в аптеке feuille de soin (фёй де суан) в дополнение к чеку. Оранжевая бумажка. Когда ваша страховка будет оформлена, бумагу надо отправить в страховую и вам возместят. На это уходит время. И вам, я думаю, нужна будет французская банковская карта, чтобы на неё вернули деньги. Хотя, может, и выдаваемая префектурой / ofii карта подойдёт. Этого нюанса не знаю. Если таблетки по рецепту - идти к врачу.",0,France_0
France,Нужно идти к семейному врачу и просить направления к узким специалистам. Страховка покрывает государсивеннных врачей,0,France_0
France,"Здравствуйте, сегодня пошли в СРАМ оформлять мед страховку но нас не приняли так как сказали что она автоматически прийдет нам на емайл после оформления временной защиты. Но я такую информацию не слышал в центре в потр де версаль. Нам там наоборот сказали что мед страховкой занимается СРАМ. Кто то может подтвердить кто из них прав?",0,France_0
France,"У аптек разные контракты с поставщиками и цены ,так же разные % по возмещению для некоторых товаров возмещение за которые не входят в обязательные компенсации...Т.н есть необходимое за что возвращают 100%,а есть такие за которые какую какую-то сумму нужно доплачивать .так вот эта доплата от этого и зависит....А есть препараты и мед.обррудование и принадлежности за которые нужно платить 100%,если у Вас нет дополнительной платной страховки..",0,France_0
France,"Вот именно поэтому, что сейчас начнется срач по поводу необходимости прививок, а не по поводу того вопроса, по которому Вам якобы нужна помощь 😏",0,France_0
France,"Якщо є рецепт (від місцевого лікаря), то в аптеці дають безкоштовно (при собі мати Свідоцтво про право на медичне страхування)",0,France_0
France,"Здравствуйте, хотела бы узнать , входят ли лечение зубов , Брекет системой в медицинскую страховку? Если нет , может кто знает куда можно обратиться за помощью ?",0,France_0
France,Я не противник вакцинації в мене всі вакцини є тут пішла суперечка за ковідсертефікати потрібно чи ні,0,France_0
France,Добрый день.Я с сыном получили временную защиту и карту соц.помощи.Зачислений на карту еще не было.У меня вопрос по поводу мед страховки .Как нам ее оформить?,0,France_0
France,"Мои пошли уже, тоже 5 лет, отношение отличнейшее, дети обожают школу. За прививки спросили, но мы из Харькова и их никак не взять, приняли) у детей с языком проблем нет, они конечно не понимают но им пофиг)",0,France_0
France,"Добрый вечер, может кто знает, где можно оформить страхование профессиональной ответственности? Я мастер перманентного макияжа, от меня в салоне требуют код этого страхования.",0,France_0
France,"Подскажите, а до какой суммы тут можно купить авто, если находишься на соц обеспечении? И во сколько обошлась Ваша страховка?",0,France_0
France,"Мне опять ""повезло"": чтобы записаться к офтальмологу нажно направление от терапевта получить. Я была первая в очереди к терапевту, и поэтому меня записали аж через 3 недели",0,France_0
France,Нам карточку віталь наскільки знаю не роблять вона для тих хто постійно живе тут ми просто користувалися папером який прийшов на адресу там ж номер страхового випадку ось по ньому. Вже були в лікаря а та отримали безкоштовно ліки в аптеці,0,France_0
France,Ну как бы помягче выразиться😅 У человека бесплодие узнав что я беременна с зависти пыталась подсыпать таблетки для выкидыша и это на 20 неделе.. внимание вопрос: как думаете она мне мешает ?🤣,0,France_0
France,Добрый вечер! Ребёнку 8 лет. Болит зуб и раздуло щеку! Как называется у них Стоматология срочная??? Что гуглить? Завтра последний рабочий день и боюсь на выходных будет ещё хуже.,0,France_0
France,"Также нужно возместить часть страхового платежа за квартиру, так как в квартире ранее никто не жил и страховой платеж был меньше.",0,France_0
France,"Консультації, процедури, аналізи, ліки - безкоштовно. Самі пологи і перебування у лікарні також все безкоштовно. Є можливість отримати від CAF допомогу ""бонус при народженні"" на дитину, якщо ви на 4 місяці (в цей період треба подати туди заяву на вагітність, видає лікар).",0,France_0
France,В личном кабинете на сайте free или у них в магазине. Придёт официальное письмо по почте и только после этого 💌🕊🤪. Так нам сегодня сказали в магазине.,0,France_0
France,"Доброе утро, можно обратиться с CPAM по вашему району и подать заявку на мед страховку и она должна прийти вам на почту в течении 10 дней, мне пришла, а тёте нет, хотя документы подала раньше меня. Поищите адрес, указав ваш район и CPAM в Гугл или можно в спросить в красном кресте адреса(нам дали там список)!",0,France_0
France,"Доброго дня! Ви приїхали на своїй машині та їздить на своїй машині. Нічого міняти не треба. Але, раджу онлайн оформити страховий поліс з можливістю пролонгації - «залена картка» Її можна оформити через будь яку надійну страхову компанію в Україні (можна онлайн)",0,France_0
France,"Добрый день! Подскажите пожалуйста могу ли я обратиться к за помощью в случае если я лежу в больнице, и моя страховка не покрывает моё ""проживание"" здесь, а я не работаю и оплачивать не смогу, так, как я не работаю. Куда я могу обратиться за помощью?",0,France_0
France,"Добрый вечер! Возможно кто-то может подсказать, предусматривает ли страховка возможность заказа очков или надо их покупать самостоятельно? Благодарю.",0,France_0
France,"Подскажите кто знает заказала по страховке очки в которых немогу ходить, могу ли я заказать контактные линзы?Или страховка покрывает что то одно либо очки либо линзы?",0,France_0
Spain,Тут не только мед страховку хорошо иметь но и страховку на случай смерти) кстати второе тоже есть у 80%),0,Spain_0
Spain,"У нас в 12лет не было никаких плановых прививок. В Киеве делали только пробы манту (До этого возраста ни одну прививку не пропускали) Нам 14 лет . Подскажите пожалуйста , может кто в курсе какая следующая прививка и в каком возрасте? Заранее спасибо",0,Spain_0
Spain,"Добрый день. Срочно нужен гинеколог украино или русскоговорящий🙏🙏🙏 Желательно по нашей страховке SIP, которую оформляют всем украинцам. г. Валенсия",0,Spain_0
Spain,"Скажите, кто то летал самолётом в Испанию недавно? Если закончились уже дни безвиза в биометрии, то они впускают в Испанию?",0,Spain_0
Spain,"Скажите, пожалуйста, кто заезжал в Испанию из Польши, польская страховка подходит? Или надо украинскую грин карту оформить? Или в испании уже что-то оформлять?",0,Spain_0
Spain,"Друзі, підкажіть, чи є якась інформація чи надає Іспанія допомогу онко хворим з України ? Треба допомогти хлопцю зі Львова, йому потрібна операція, але з України може виїхати лише після підтвердження лікування у якомусь конкретному госпіталі. Чи можливо хтось чув про інші країни , я знайшла тільки Ізраїль , але виключно для дітей. Дякую !🙏🏻",0,Spain_0
Spain,"Не сильно расчитывайте, что вам назначат кучу лекарств. К насморку, температуре и т.д. тут очень легко относятся. Это нормально. Пока нет угрозы жизни, никто ничего делать не будет. На будущее, скорые так же не приезжают на дом. Это гос.страховка.",0,Spain_0
Spain,"Якщо у вас в Україні в вашому місті працює helsi.me, то у них здається була можливість онлайн прийому до лікаря",0,Spain_0
Spain,На процесс омологации прям надо запастись огромным терпением и тонной апостилированных бумаг. Удачи!,0,Spain_0
Spain,"При чем тут ""страна""? Страхуют страховые компании которые объединены в систему страхования ""Бюро зеленой карты"". Страховые компании одного государства страхуют риски страховых случаев которые могут возникнуть у людей выезжающих в другие страны, где покрывать ущерб будут страховые компании государства в котором возник страховой случай. И чтобы это работало страховые компании объединились в международную систему. То есть это как страхование ОСАГО только страховых случаев за границей автовладельца.",0,Spain_0
Spain,"Девочки, привет! Кто уже имел опыт и разобрался в этом вопросе: заболел ребёнок, нужны леденцы для горла, капли в нос сосудосуживающие и противовирусное. Подскажите, пожалуйста, названия лекарств? Врач назначил только парацетамол и Ибупрофен.",0,Spain_0
Spain,"Я живу в Николаеве, там сильно прилетает, а в Одессе в сёлах спокойно, я просто уже жду нию 85 дней, но мне не дают, дочке и внучке за неделю дали, а у меня нет выхода, диагноз плече-лопаточный периртроз , никто не хочет лечить здесь без регистрации, а рука уже почти не поднимается, надо ехать",0,Spain_0
Spain,"Здравствуйте! Подскажите пожалуйста, нужна ли вакцинация или тесты на ковид при въезде в Испанию? И нужна ли виза?",0,Spain_0
Spain,"Доброго дня, чи робив хтось планові вакцини дітям(15 місяців). Графік вакцин Іспанії та України відрізняється? На прийомі сказали будуть уточнювати із головною медсестрою. Поки що новин немає. Чи був в когось тут досвід такий? Ми у Малазі",0,Spain_0
Spain,"Добрый день.Подскажите для медиков ссылку на подтверждение диплома(гигиенистка стоматологии,ассистент стоматолога)Спасибо.😁",0,Spain_0
Spain,"Назонекс и ещё Авамис гормональные препараты. Авамис использую своему ребенку , аденоиды. Авамис выписал Лор врач , до этого ничего не помогало . Использую осторожно, один раз в сутки до исчезновения симптомов",0,Spain_0
Spain,"Спрашивают . У нас вакцина. Делали qr код в программе Spain health . У кого нет, заполняют анкеты по прилёту и делают тест.",0,Spain_0
Spain,"Карту чтобы иметь доступ к медицине, провести плановый осмотр ребёнка например. Вроде она как SIP называется.",0,Spain_0
Spain,Добрий день Чи запитують зараз тест для перельоту літаком до Іспаніі? Напишіть будь- ласка в особисті. Волонтер,0,Spain_0
Spain,"Я з України,зараз в Росії,проблема з ногами.Лікар назначив лікування.Дочка в Іспанії з дітьми, потрібно вже йти на роботу,бо вже пройшов полжений час і їй їй потрібно йти на роботу.Говоре,щоб скоріше приїжджала,а я не знаю чи я зможу там полікуватися.",0,Spain_0
Spain,"Доброе утро! Есть контакты стоматологов/ортодонтов в районе Бенидорм/Аликанте? Может быть, кто-то уже сталкивался, у меня брекеты и нужно поменять на них резинки. Это дело 5 минут. Это можно сделать по страховке или нужно отдельно как-то? Спасибо",0,Spain_0
Spain,"Доброе утро. Подскажите, есть в чате педиатр? Или может кто то знает русскоговорящего педиатра, поделитесь, пожалуйста, контактом. У ребёнка поднялась высокая температура, нужна помощь.",0,Spain_0
Spain,"Да, я знаю. Спасибо. Хочу узнать куда обращаться в случае острой боли, так как тут большинство стоматологических клиник закрыто в выходной день",0,Spain_0
Spain,"Извините, может подскажете тогда,хорошее обезболивающие?просто как мне объяснили,к врачу я могу попасть только после получения документов,поэтому с рецептом пока никак((((",0,Spain_0
Spain,"Теперь я жду когда смогут долечить зуб,поставил временную пломбу с лекарством и сказал прийти через неделю,уже вторая неделя никак не могут записать к врачу",0,Spain_0
Spain,"дякую. Я поки що знаю тільки людей які намагаються позбутися алергіі по АСІТ, але ще жоден з них не сказав, що йому стало легше. Тому це теоретична можливість. Але це якщо нема можливості позбутися джерела алергіі. Зараз, хто живе біля море ще зіштовхнуться з пліснявою та вологою.",0,Spain_0
Spain,Ну это тоже смотря как посмотреть. И смотря с чем вы сталкивались. У меня очень плохие воспоминания о украинской медицине.,0,Spain_0
Spain,"Ребята, подскажите пожалуйста, есть ли аналоги в аптеках Испании Эпигалин и Корсил. Не могу аналог найти!",0,Spain_0
Spain,"Если надо да. У вас не будет никаких проблем, если у вас нет сертификата сейчас. Также будут вакцинированы, если это необходимо.",0,Spain_0
Spain,"Возможно вам повезло, мой опыт , обращалась и моя мама с давлением и дети , пока кроме ибупрофена ничего, даже капель нос .",0,Spain_0
Spain,"Подскажите пожалуйста. Ребенку нужно нарастить зуб. Мы уже с документами. Но я так понимаю, что это не входит в страховку. Тоесть нам нужно обращаться в любую частную зубную клинику? Может подскажете, где в Мадриде есть для украинцев услуги детского зубного врача по неполной стоимости?",0,Spain_0
Spain,"Підкажіть будь-ласка чи дійсно на внутрішні рейси не потрібен антиген-тест по Ковіду? Мені авіалінії пишуть що нічого не потрібно, а я щось в цьому сумніваюсь… В мене 2 вакцини і міжнародний сертифікат від України до 30.06, летіти на днях треба.",0,Spain_0
Spain,"Ви самі спалилися, коли про мамаш написали. В мене колись навчалася фармацевт, то вона казала це пипець якийсь. Приходять мамаши і кажуть ""щось в моєї дитини сопельки, продайте мені якийсь антибіотик посильніше"" І нічого таким не доведеш, на жаль...",0,Spain_0
Spain,Особенно если по государственному страхованию да ещё нужен хороший специалист... Тогда вы меня вспомните!!!,0,Spain_0
Germany,"добрый день, какие есть возможности по жилью в германии, 3 взрослые женщины, без вредных привычек , город наверное не важен , планируем прибыть в ближайшее время",1,Germany_1
Germany,Ребят нужно жилье Для подруги с ребенком Ей 26 ему 2.6 Сегодня или завтра уже месяц не можем найти Очень срочно прошу,1,Germany_1
Germany,"Здравствуйте, срочный вопрос Я приехала пару дней назад, меня распределили в другой город, а через час я нашла общежитие там где мне удобней всего жить и там свободно. Мне нужно что бы меня туда распределили. Меня могут перераспределить??? ПОЖАЛУЙСТА ПОМОГИТЕ ЕСЛИ ЗНАЕТЕ ЧТО ТО",1,Germany_1
Germany,Добрый день. Помогите найти социальное жилье. Нас 3. Я моя дочь и моя мама. Живём в Потсдаме но согласны на любой город,1,Germany_1
Germany,"Поделитесь пожалуйста контактами Риелторов в Берлине🙏🏼 нужно срочно найти квартиру Естественно, не бесплатно и жильё будем оплачивать сами (все с работой)",1,Germany_1
Germany,Муж и жена с дочкой собакой направляется в Гамбург 17 ого число.нужен жилье где пожить.Может кто то сможет помочь?,1,Germany_1
Germany,"Добрый вечер, кто может проконсультировать меня по поводу вопроса : готова предоставить жильё одной женщине в 2х комнатной квартире вместе со мною. Район Waldbröl 😊🌷",1,Germany_1
Germany,"Доброго вечора! Шукаю житло для жінки з дитиною( хлопчиком 13 років). Якщо є можливість, напишіть, дякую🙏",1,Germany_1
Germany,"Добрый день. Семья с двух человек, ищет жильё в Дрездене. Есть животные ! Порядочность и чистоту гарантируем",1,Germany_1
Germany,"Добрый день.Семья из Украины (2 женщины и 2 детей:девочка 8лет,мальчик 13лет)ищет бесплатное жилье,с территориальной возможностью ходить детям в школу,взрослым найти работу.Сейчас временно живем возле Ильменау,зарегистрировались.Заранее благодарна!",1,Germany_1
Germany,"Добрый день!Ищем квартиру в Кобленц под регистрацию!Семья из троих человек!Бабушка,мама и дочка.Буду благодарна за любую помощь в лс.",1,Germany_1
Germany,"Здравствуйте! Нужна квартира в городе Менден, возможно кто-то уезжает или знает что сдаётся квартира. Напишите пожалуйста в ЛС",1,Germany_1
Germany,"Добрый день! Кто ищет жильё в Саарланде, Саарбрюкене? Я из Украины и живу в двухкомнатной квартире в центре города 66111, которую уже оплачивает ДжобЦентр. Мои друзья переезжают, поэтому в ближайшую неделю/две освобождается одна комната. В соседи ищу девушку любого возраста, можно с ребёнком. На все вопросы отвечу в личные сообщения.",1,Germany_1
Germany,"Guten Tag! Suche nach einem Wohnung für meine Mutter und mich. Deutschland, Magdeburg. Hessen, Köln. Wir sind intelligente Leute ohne schlechtes Angewöhnheiten. Nur für uns zwei. Iryna +380950811880.",1,Germany_1
Germany,"Добрый день кто здает однокомнатную квартиру в Мюнхене для семьи папа ,Мама и дочь 9 лет . Буду весьма благодарна за информацию. Спасибо",1,Germany_1
Germany,"Здравствуйте, помогите с жильем. Сейчас живём в Оснабрюк. 3 взрослых+2 котов. Женщины. Чистоплотные, порядочные",1,Germany_1
