federation_level,x,x_translation,y
Poland,‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️ ищем жилье. Срочно!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!В Польше не далеко от Гданська в Торуне. Мама+папа + 3 детей +бабушка. Кот. Срочно!!!!!!!!! 732592169,"""Looking for accommodation urgently in Torun, Poland near Gdansk. Family of 5 with a cat and grandmother. Urgent! 732592169"" ",
Poland,"Здравствуйте, подскажите пожалуйста. Можно ли ребенку 17лет, сделать заграничный паспорт в Польше? Беженство оформлять не хотим.","Hello, please advise. Is it possible for a 17-year-old child to obtain a foreign passport in Poland? We do not want to apply for refugee status. ",
Czech Republic,"Добрий ранок, підкажіть, будь ласка, якщо подовжувати паспорт дитині в Празі, за який термін до закінчення паспорту можна це зробити? Чи можна за півроку до закінчення це зробити?","Good morning, please tell me, if I extend my child's passport in Prague, for how long before the passport expires can I do it? Can it be done six months before expiration?",
Germany,Добрый день.Может кто знает Лимбург-Вайльбург.Земля Гессен.Может там есть хороший Русскоговорящий стоматолог.Спасибо,"Hello. Does anyone know Limburg-Weilburg, Hesse? Maybe there is a good Russian-speaking dentist there. Thank you.",
Poland,"Здравствуйте! Еду из Киева, через Польшу. Альфа банк. Есть ли проблемы со снятием наличных? Счёт в гривнах и в долларах. Подскажите, пожалуйста, у кого был опыт с Альфа Банком 🙏🙏🙏 Заранее благодарна за ответ 🙏🤍",Hello! I am traveling from Kyiv through Poland. Alpha Bank. Are there any problems with cash withdrawals? Account in hryvnia and dollars. Please advise if anyone has experience with Alpha Bank 🙏🙏🙏 Thank you in advance for your answer 🙏🤍,
Czech Republic,"Ну мама об этом и мела ввиду,что она 17 летнего ребёнка оставляет учится. Как по мне ,даже если родители выезжает на несколько дней,то надо на кого то оставлять официально. Мало ли что. Шёл,споткнулся и ногу сломал. А родителей рядом нет. Тем более,что на опекунство нормально реагируют в консульстве. Все понимают,что у людей в Украине могут оставаться ещё родители,сыновья,которым есть 18..","""Hello. My mother meant that she is leaving her 17-year-old child to study. In my opinion, even if parents leave for a few days, they should officially leave the child with someone. You never know what might happen. The child could trip and break a leg, and the parents wouldn't be there. Moreover, the consulate responds well to guardianship. Everyone understands that parents in Ukraine may still have parents or sons who are 18 or older."" ",
Spain,"Доброго дня, чи робив хтось планові вакцини дітям(15 місяців). Графік вакцин Іспанії та України відрізняється? На прийомі сказали будуть уточнювати із головною медсестрою. Поки що новин немає. Чи був в когось тут досвід такий? Ми у Малазі","Hello, has anyone done scheduled vaccinations for children (15 months old)? Does the vaccination schedule differ between Spain and Ukraine? They said they would clarify with the head nurse during the appointment. There is no news yet. Has anyone had such experience here? We are in Malaysia.",
Poland,"Добрий вечір Знаю що в Варшаві є велика проблема з місцями, але чи знайти житло хоча б на кілька днів для жінки з дитиною?","Good evening. I know that there is a big problem with accommodation in Warsaw, but is it possible to find housing for a woman with a child for at least a few days?",
France,Я не противник вакцинації в мене всі вакцини є тут пішла суперечка за ковідсертефікати потрібно чи ні,"I am not against vaccination, I have all the vaccines. There is a debate here about the need for COVID certificates or not.",
Portugal,а если евро счет например в том же Моно? Деньги подтверждены декларациями. Расчитываться через терминал (NFC) ?,"If the euro account is, for example, in the same Mono bank? The money is confirmed by declarations. Payment is made through a terminal (NFC).",
Portugal,"Здравствуйте. Подскажите, как обстоит ситуация с арендой жилья? Мы готовы оплачивать квартиру, платёжеспособны, но нет контракта на работу пока. Только в пути в Португалию. Есть шанс, что нам сдадут квартиру?","Hello. Can you tell me about the situation with renting housing? We are ready to pay for an apartment, we have the means, but we don't have a work contract yet. We are just on our way to Portugal. Is there a chance that we will be able to rent an apartment?",
Spain,"При чем тут ""страна""? Страхуют страховые компании которые объединены в систему страхования ""Бюро зеленой карты"". Страховые компании одного государства страхуют риски страховых случаев которые могут возникнуть у людей выезжающих в другие страны, где покрывать ущерб будут страховые компании государства в котором возник страховой случай. И чтобы это работало страховые компании объединились в международную систему. То есть это как страхование ОСАГО только страховых случаев за границей автовладельца.","""I don't understand what ""country"" has to do with it. Insurance companies that are part of the Green Card insurance system insure risks of insurance cases that may arise for people traveling to other countries, where the damage will be covered by insurance companies of the country where the insurance case occurred. And in order for this to work, insurance companies have joined an international system. So it's like OSAGO insurance, but for insurance cases abroad for car owners."" ",
Switzerland,"Я пошла в поликлинику к семейному доктору. И сказала, что постоянно принимаю єутирокс, каждый день. Рассказала свой диагноз, и он мне выписал бессплатный рецепт на 3 месяца. Это страховка покрывает",I went to the clinic to see my family doctor. I told him that I take Eutirox every day. I explained my diagnosis and he gave me a free prescription for 3 months. This is covered by insurance.,
Spain,"Дуже цікаву інформацію дали в новинах De esos más de 147.000 desplazados, en torno a 20.000 están dentro del sistema de acogida y tienen garantizado el alojamiento y la manutención, pero la gran mayoría está empleando sus propios recursos o está recurriendo a familiares o amigos y muchas pueden no tener medios. виходить що тільки 20к людей з 147к знаходяться на програмі від організацій, всі інші живуть якось самостійно.","Very interesting information was given in the news. Of those more than 147,000 displaced, around 20,000 are within the reception system and have guaranteed accommodation and maintenance, but the vast majority are using their own resources or turning to family or friends and many may not have means. ",
Germany,"Добрый вечер, кто может проконсультировать меня по поводу вопроса : готова предоставить жильё одной женщине в 2х комнатной квартире вместе со мною. Район Waldbröl 😊🌷",Good evening. Who can advise me on the question: I am ready to provide accommodation for one woman in a 2-room apartment together with me. Waldbröl district 😊🌷,
Germany,"Здравствуйте, подскажите пожалуйста, кто нибудь ехал поездом Мукачево-Будапешт? Сколько стоит билет? Заранее спасибо)","Hello, please tell me, has anyone traveled by train from Mukachevo to Budapest? How much does the ticket cost? Thank you in advance.",
Germany,"Привет, У меня есть комната в новом доме для 1-2 детей и 1 взрослый. Могу помочь с офисами в Германии. город 66606 Санкт-Вендель","Hello, I have a room in a new house for 1-2 children and 1 adult. I can help with offices in Germany. City 66606 Sankt Wendel.",
Spain,Доброе утро. Кто нибудь знает сколько можно с гривневой карточки приват банка в испанском банкомате снять денег за один раз? Есть ли какие-то лимиты?,Good morning. Does anyone know how much money can be withdrawn at once from a PrivatBank card in a Spanish ATM? Are there any limits?,
Switzerland,"Нещодавно хворіла краплі тобрадекс, тільки сімейний лікар виписує, самостійно не купиш в аптеці ( це антибіотик )","Recently I was sick and needed Tobradex eye drops, only a family doctor can prescribe them, you can't buy them yourself at a pharmacy (it's an antibiotic)",
Czech Republic,"Добрый вечер! Помогите пожалуйста, нужно срочно отправить на расчетный счёт деньги, как это можно сделать? Банк получателя Таскомбанк, а я отправляю с Чехии CSOB, как отправить? Может есть сайты какие?","Good evening! Please help, I urgently need to send money to a checking account, how can I do this? The recipient bank is Tascobank, and I am sending from CSOB in the Czech Republic, how can I send it? Maybe there are some websites?",
Portugal,"Привет 👋🏽 Подскажите, пожалуйста, нужно ли сдавать тест на ковид? Летим сегодня из Варшавы в Лиссабон авиакомпанией TAP Portugal.",Hello 👋🏽 Can you please tell me if I need to take a COVID test? We are flying today from Warsaw to Lisbon with TAP Portugal airline.,
Germany,Добрый день! В Гамбург с Варшавы можно добраться бесплатным поездом или автобусом? Есть ли расписание ?,Good afternoon! Is it possible to get from Warsaw to Hamburg by a free train or bus? Is there a schedule?,
Spain,"Здравствуйте, может кто-то подскажет, можно ли без карты снять деньги с банкомата в Испании? Если у меня эта карточка только в телефоне","Hello, can someone advise if it is possible to withdraw money from an ATM in Spain without a card? If I only have this card on my phone.",
Germany,"Подскажите пожалуйста, ето уже открыл счёт в Revolut . Какие условия, как пользоваться и вообще стоит ли там открывать? Или лучше в банк обращаться? Помогите советом","Please advise, I have already opened an account with Revolut. What are the conditions, how to use it and whether it is worth opening there? Or is it better to go to a bank? Help with advice.",
Switzerland,"Доброго дня! Скажіть, будь ласка, можно знайти житло самим в цьому кантоні, де проживаєш? Нам ще не надали постійне і ніхто нічого не знає.",Hello! Can you please tell me if it's possible to find accommodation on our own in this canton where we live? We haven't been provided with anything permanent yet and no one knows anything. ,
Belgium,"Каждый человек имеет право на срочную медицинскую помощь, оплачивает осмв по месту проживания. Но возможно, сначала стоматолог должен будет направить запрос осмв, указав, что это срочная мед.помощь, и потом только можно будет идти на приём (надо позвонить утром в осмв и спросить их процедуру)","Every person has the right to urgent medical care, paid for by the local health insurance fund. However, it is possible that first a dentist will need to send a request to the health insurance fund, indicating that it is urgent medical care, and only then can you go to the appointment (you need to call the health insurance fund in the morning and ask about their procedure).",
Spain,"Ребят, сориентируйте по цене на аренду квартиры с 1й и 2мя спальнями в Валенсии? За какой период нужно сразу оплатить 3-6 месяцев? Спасибо 🙌","Hi guys, can you give me an idea of the price for renting an apartment with 1 or 2 bedrooms in Valencia? Do I need to pay for 3-6 months in advance? Thank you 🙌",
Spain,"Девочки, привет! Кто уже имел опыт и разобрался в этом вопросе: заболел ребёнок, нужны леденцы для горла, капли в нос сосудосуживающие и противовирусное. Подскажите, пожалуйста, названия лекарств? Врач назначил только парацетамол и Ибупрофен.","Hello girls! Who has already had experience and figured out this issue: my child got sick, we need throat lozenges, vasoconstrictor drops for the nose, and antiviral medication. Please advise the names of the medicines? The doctor prescribed only paracetamol and ibuprofen.",
France,"Добрый день. Подскажите, пожалуйста, у кого был опыт открытия счета пейпал на французскую карту? Карта Credit Mutuelle. Не хочет карту подтверждать","Hello. Please tell me, who has experience opening a PayPal account with a French Credit Mutuelle card? The card is not being confirmed.",
Poland,"Свидетельство рождения должно быть у ребёнка, родители могут написать от руки разрешение, но его вроде даже не спрашивают сейчас","A birth certificate must be with the child, parents can write a permission by hand, but it seems like they don't even ask for it now.",
France,"Здравствуйте, подскажите пожалуйста, где в Париже находится центр для беженцев? не успели на поезд, нужно переночевать до утра","Hello, please tell me where the refugee center is located in Paris? We missed the train and need to stay overnight until morning.",
France,Добрый вечер! Ребёнку 8 лет. Болит зуб и раздуло щеку! Как называется у них Стоматология срочная??? Что гуглить? Завтра последний рабочий день и боюсь на выходных будет ещё хуже.,Good evening! My child is 8 years old. His tooth hurts and his cheek is swollen! What is the name of the emergency dentistry here? What should I google? Tomorrow is the last working day and I'm afraid it will get worse on the weekend.,
Switzerland,"Добрый вечер подскажите пожалуйста как добраться к вам с Одессы , с ребёнком , без загран пасспортов","Good evening, please tell me how to get to you from Odessa with a child without foreign passports.",
Switzerland,😂😂😂😂😂😂😂 ну ок)). Я Вам рекомендую заняться поиском работы для врачей тут из Украины)). Можете ещё деньги с них брать 😀😅😂. Скоро озолотитесь)). Когда Вас везде посылать будут)),"""😂😂😂😂😂😂😂 Well okay)). I recommend that you search for work for doctors here from Ukraine)). You can also take money from them 😀😅😂. You will soon become rich)). When they start sending you everywhere))"" ",
France,Доброго вечера. Вибачте не знайшла інформацію. Як швидко скинути гроші в Україну? Через яку систему? Маю тут Агріколь.,"Good evening. Sorry, I couldn't find the information. How can I quickly send money to Ukraine? Through which system? I have Agricole here.",
Czech Republic,"Со Львова до Пшемысля сидячие места (интерсити). От Пшемысля до Праги есть два варианта мест - сидячие как интерсити, и спальные, купе, 4 места, но эти купе меньше, чем наши купе. Меньше также расстояние между верхней и нижней полкой. Пересадка в Пшемысле около часа. По сути с одной платформы на другую. Там же проходят контроль, когда едишь из Праги во Львов. Если со Львова в Прагу, то контроль проходят в самом поезде, когда он едет в Пшемысль.","From Lviv to Przemysl there are seats available (Intercity). From Przemysl to Prague there are two options for seats - sitting like in Intercity, and sleeping, coupe, 4 seats, but these coupe are smaller than ours. The distance between the upper and lower shelves is also smaller. Transfer in Przemysl takes about an hour. Essentially from one platform to another. There is also a control when traveling from Prague to Lviv. If traveling from Lviv to Prague, the control is carried out on the train itself when it is traveling to Przemysl.",
Belgium,"Мы были в поликлинике обычной, не у частного доктора. Может, там правила другие, не буду утверждать. Разговаривала с еще одним работником соцслужбы, он говорит, что НЕ оказать вам помощь не имеют права, как и в Украине, в общем-то. А уже потом будут разбираться, как эту услугу оплатить.","We were at a regular clinic, not a private doctor's. Maybe the rules are different there, I won't assert. I talked to another social services worker, he says they do not have the right to refuse to help you, just like in Ukraine, basically. And then they will figure out how to pay for this service.",
Germany,"Мы поняли, что обязательна. По идее, если вы не вакцинированы, то надо сдать экспресс-тест, прежде чем куда-то идти. Даже для общественного транспорта","We understand that it is mandatory. In theory, if you are not vaccinated, you need to take a rapid test before going anywhere. Even for public transport.",
Spain,"Я сама в Испании уже 12 лет. Вот поэтому и говорю, что нужно наших беженцев просто успокоить и объяснить, что Испания она разная и что отдыхать в Испании и жить две большие разницы 😊❤️",I myself have been in Spain for 12 years. That's why I say that we just need to calm down our refugees and explain that Spain is different and that there is a big difference between vacationing in Spain and living there 😊❤️,
Belgium,"Всем привет , нужны люди на верефикацию Револют , оплата 150 грн , верефикация занимает до 15 минут , без всякого кидалова пишите в личку ! Подходит айди и загран паспорт","Hello everyone, people are needed for Revolut verification, payment is 150 UAH, verification takes up to 15 minutes, without any fraud, write in private messages! ID and passport are suitable.",
Spain,"Всем привет🤗 Очень нужна помощь (информационно).Нужно поехать в Барселону продлить паспорт дочки (9 лет),мы с ней на разных фамилиях.Находимся в Санта Пола (Аликанте).Дорога дальняя и дорогостоящая.Может кто-то уже делал такое ?Нужно ли тащить ребенка ?","Hello everyone🤗 I really need help (informational). I need to go to Barcelona to renew my daughter's passport (9 years old), we have different surnames. We are in Santa Pola (Alicante). The road is far and expensive. Has anyone done this before? Do I need to bring the child?",
Portugal,"Підкажіть будь ласка як можна знайти тимчасове житло в Сетубалі або Палмелі? Хоча б кімнату поки не знайдеться квартира, за адекватну ціну.","Please advise how to find temporary accommodation in Setubal or Palmela? At least a room until an apartment is found, at a reasonable price.",
Germany,"Добрый день!Ищем квартиру в Кобленц под регистрацию!Семья из троих человек!Бабушка,мама и дочка.Буду благодарна за любую помощь в лс.","Hello! We are looking for an apartment in Koblenz for registration! A family of three! Grandmother, mother and daughter. I would be grateful for any help in private messages.",
Germany,"У нас не вимагали! Живемо в гуртожитку як біженці і тут багато школярів . Ми всі спілкуємося один з одним і ніхто не підтвердив, що вимагали довідку від педіатра.","""We were not asked for it! We live in a dormitory as refugees and there are many schoolchildren here. We all communicate with each other and no one has confirmed that a pediatrician's certificate was required."" ",
Portugal,"Добрый день. Сниму хорошую 1к квартиру на 2 месяца в Лисабоне или где-то еще. На какую сумму ориентироваться и где искать? Фейсбук, ОЛХ, custojusto, uniplaces?","Hello. I am looking for a good 1-bedroom apartment to rent for 2 months in Lisbon or somewhere else. What amount should I expect to pay and where should I look? Facebook, OLX, Custojusto, Uniplaces?",
Portugal,"Запишіться онлайн в wells https://wells.pt/marcacoes/formulario?businessId=3 на консультацію окуліста carta condução. Це безкоштовно. З довідкою від окуліста- в сауду. Кажіть, що вам потрібно медичну довідку для заміни прав і покажіть ту, що взяли в окуліста.Мене відразу ж прийняв сімейний лікар і виписав медичну довідку, яку я подала в онлайн заявці. Все абсолютно безкоштовно і дуже швидко.","Please make an appointment online at wells https://wells.pt/marcacoes/formulario?businessId=3 for a consultation with an ophthalmologist for a driving license. It's free. With a certificate from an ophthalmologist, you can go to Saudi Arabia. Say that you need a medical certificate for a driver's license replacement and show the one you got from the ophthalmologist. A family doctor immediately accepted me and issued a medical certificate, which I submitted in an online application. Everything is absolutely free and very fast.",
